Product_ID,Product_Name,Product_Description,Product_Category,Product_Price
P001,ASOS DESIGN extreme racer back tank,"Tank by ASOS DESIGN Textured neppy finish Yes, it’s deliberately bobblyScoop neck",TANK,25.9
P002,Nike Mens Dri-Fit Solid T-Shirt,Machine washable,TSHIRT,33
P003,Red Tie Dye V-Neck Tank,Machine washable,TSHIRT,21
P004,APPLIQUE LOGO TEE,"Soft and comfortable 100% cotton tee with a crew neckline, applique logo and clean hem Imported",TSHIRT,26
P005,Polo Ralph Lauren,Soft and comfy ,TSHIRT,22
P006,Target,"Tank by ASOS DESIGN Textured neppy finish Yes, it’s deliberately bobblyScoop neck",Tank,13.99
P007,Walmart,Mens Tagless Cotton Crew Neck Long-Sleeve Tshirt,T-shirts,7.97
P008,saksfifthavnue,Mens Tagless Cotton Crew Neck Long-Sleeve Tshirt,T-shirts,20
P009,farfetch,Washed T-shirt with Gucci prin,T-shirts,48
P010,Stafford,Stafford® 100% Cotton Performance Heavyweight Crewneck Pocket Tee,T-shirts,14
P011,RB3,"This tee from RB3 Active features moisture wicking technology, heather color design, and a crew neckline.",T-shirts,22
P012,Salt Life,All the comfort of your favorite T-shirt with style & great design featured on the front. ,T-shirts,20
P013,Reel Legends,"Featuring new soft, lightweight Reel-Tec fabric and chest logo.",T-shirts,38
P014,"Columbia
",Tshirt by Columbia,T-shirts,34.99
P015,Huk,Huk performance fishing gear is all you need when you're out on the water. ,T-shirts,39.99
P016,ASOS,Performance drift,Tank,30
P017,Under Armou,"Beat the heat in this Under Armour tank top, soft fabric with engineered mesh located where you need it most. ",Tank,11.5
P018,Next Level Apparel,Next Level Men's Cotton Tank. Available in Bulk. Fabric is Lighter Weight 4.3oz & 100% combed ringspun cotton.,Tank,22
P019,Google Express,Stock up on your feel-good essentials with this eight pack of men's Ultimate ComfortSoft tank undershirts from Hanes ,Tank,5
P020,NTO THE AM,INTO THE AM Spectrum Men's Tank Top - Sleeveless Shirts:,Tank,31.2
P021,Under Armour,Tottenham Hotspur,Tank,25
P022,Nike,"From the gym to the trails, keep moving in comfort with this slim-fitting shirt from Nike. ",T-shirts,60
P023,"Champion
",Get an athletic fit and soft comfort in this T-shirt from Champion,T-shirts,20
P024,Levi's,"A stylish addition to your casual essentials, this cotton T-shirt features a refined slim fit and Levi",T-shirts,24.5
P025,AJ,Lock down casual style for evenings and weekends with the sleek look of this graphic-print T-shirt from Armani Exchange.,T-shirts,15
P026,Abercrombie & Fitch,"Cool and comfortable short-sleeve tee with tie-dye stripes. Crew neckline, clean hem and logo tag. Imported",T-shirts,9.6
P027,Abercrombie & Fitch,"100% cotton tee in a slub texture with chest pocket, logo tag and clean hem. Imported",T-shirts,10.8
P028,hollister,A soft cotton tee designed in our signature curved hem silhouette with longer length. ,T-shirts,19.95
P029,hollister,"A soft cotton tee designed with a scrunch-dye pattern, ",T-shirts,19.95
P030,hollister,A soft cotton tank designed with a textured ombré pattern. ,Tanks,14.95
